,park_code,park_name,family,scientific_name,common_names,conservation_status,protected,raptor
42081,GRCA,Grand Canyon National Park,Accipitridae,Accipiter cooperii,Cooper's Hawk,Species of Concern,True,Hawk
42082,GRCA,Grand Canyon National Park,Accipitridae,Accipiter gentilis,Northern Goshawk,Least Concern,False,Hawk
42083,GRCA,Grand Canyon National Park,Accipitridae,Accipiter striatus,Sharp Shinned Hawk,Species of Concern,True,Hawk
42084,GRCA,Grand Canyon National Park,Accipitridae,Aquila chrysaetos,Golden Eagle,Species of Concern,True,Eagle
42085,GRCA,Grand Canyon National Park,Accipitridae,Buteo albonotatus,Zone Tailed Hawk,Least Concern,False,Hawk
42086,GRCA,Grand Canyon National Park,Accipitridae,Buteo jamaicensis,Red Tailed Hawk,Least Concern,False,Hawk
42087,GRCA,Grand Canyon National Park,Accipitridae,Buteo lagopus,Rough Legged Hawk,Species of Concern,True,Hawk
42088,GRCA,Grand Canyon National Park,Accipitridae,Buteo lineatus,Red Shouldered Hawk,Species of Concern,True,Hawk
42089,GRCA,Grand Canyon National Park,Accipitridae,Buteo platypterus,Broad Winged Hawk,Least Concern,False,Hawk
42090,GRCA,Grand Canyon National Park,Accipitridae,Buteo regalis,Ferruginous Hawk,Least Concern,False,Hawk
42091,GRCA,Grand Canyon National Park,Accipitridae,Buteo swainsoni,Swainson's Hawk,Least Concern,False,Hawk
42092,GRCA,Grand Canyon National Park,Accipitridae,Buteogallus anthracinus,Common Black Hawk,Least Concern,False,Hawk
42093,GRCA,Grand Canyon National Park,Accipitridae,Circus cyaneus,Northern Harrier,Species of Concern,True,Harrier
42094,GRCA,Grand Canyon National Park,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,In Recovery,True,Eagle
42095,GRCA,Grand Canyon National Park,Cathartidae,Cathartes aura,Turkey Vulture,Species of Concern,True,Vulture
42096,GRCA,Grand Canyon National Park,Cathartidae,Gymnogyps californianus,California Condor,Endangered,True,Condor
42097,GRCA,Grand Canyon National Park,Pandionidae,Pandion haliaetus,Osprey,Species of Concern,True,Osprey
42098,GRCA,Grand Canyon National Park,Anatidae,Aix sponsa,Wood Duck,Least Concern,False,
42099,GRCA,Grand Canyon National Park,Anatidae,Alopochen aegyptiaca,Egyptian Goose,Least Concern,False,
42100,GRCA,Grand Canyon National Park,Anatidae,Anas acuta,Northern Pintail,Least Concern,False,
42101,GRCA,Grand Canyon National Park,Anatidae,Anas americana,American Wigeon,Least Concern,False,
42102,GRCA,Grand Canyon National Park,Anatidae,Anas clypeata,Northern Shoveler,Least Concern,False,
42103,GRCA,Grand Canyon National Park,Anatidae,Anas crecca,"Eurasian Teal, Green Winged Teal",Least Concern,False,
42104,GRCA,Grand Canyon National Park,Anatidae,Anas cyanoptera,Cinnamon Teal,Least Concern,False,
42105,GRCA,Grand Canyon National Park,Anatidae,Anas discors,Blue Winged Teal,Least Concern,False,
42106,GRCA,Grand Canyon National Park,Anatidae,Anas penelope,Eurasian Wigeon,Least Concern,False,
42107,GRCA,Grand Canyon National Park,Anatidae,Anas platyrhynchos,Mallard,Least Concern,False,
42108,GRCA,Grand Canyon National Park,Anatidae,Anas strepera,Gadwall,Least Concern,False,
42109,GRCA,Grand Canyon National Park,Anatidae,Anser albifrons,Greater White Fronted Goose,Least Concern,False,
42110,GRCA,Grand Canyon National Park,Anatidae,Aythya affinis,Lesser Scaup,Species of Concern,True,
42111,GRCA,Grand Canyon National Park,Anatidae,Aythya americana,Redhead,Least Concern,False,
42112,GRCA,Grand Canyon National Park,Anatidae,Aythya collaris,Ring Necked Duck,Least Concern,False,
42113,GRCA,Grand Canyon National Park,Anatidae,Aythya marila,Greater Scaup,Least Concern,False,
42114,GRCA,Grand Canyon National Park,Anatidae,Aythya valisineria,Canvasback,Least Concern,False,
42115,GRCA,Grand Canyon National Park,Anatidae,Branta canadensis,Canada Goose,Least Concern,False,
42116,GRCA,Grand Canyon National Park,Anatidae,Branta hutchinsii,Cackling Goose,Least Concern,False,
42117,GRCA,Grand Canyon National Park,Anatidae,Bucephala albeola,Bufflehead,Least Concern,False,
42118,GRCA,Grand Canyon National Park,Anatidae,Bucephala clangula,Common Goldeneye,Least Concern,False,
42119,GRCA,Grand Canyon National Park,Anatidae,Bucephala islandica,BarrowS Goldeneye,Least Concern,False,
42120,GRCA,Grand Canyon National Park,Anatidae,Chen caerulescens,Snow Goose,Least Concern,False,
42121,GRCA,Grand Canyon National Park,Anatidae,Chen rossii,Ross' Goose,Least Concern,False,
42122,GRCA,Grand Canyon National Park,Anatidae,Clangula hyemalis,Long Tailed Duck,Least Concern,False,
42123,GRCA,Grand Canyon National Park,Anatidae,Cygnus buccinator,Trumpeter Swan,Species of Concern,True,
42124,GRCA,Grand Canyon National Park,Anatidae,Cygnus columbianus,Tundra Swan,Least Concern,False,
42125,GRCA,Grand Canyon National Park,Anatidae,Histrionicus histrionicus,Harlequin Duck,Least Concern,False,
42126,GRCA,Grand Canyon National Park,Anatidae,Lophodytes cucullatus,Hooded Merganser,Least Concern,False,
42127,GRCA,Grand Canyon National Park,Anatidae,Melanitta fusca,"White Winged Scoter, Velvet Scoter",Least Concern,False,
42128,GRCA,Grand Canyon National Park,Anatidae,Melanitta perspicillata,Surf Scoter,Least Concern,False,
42129,GRCA,Grand Canyon National Park,Anatidae,Mergus merganser,Common Merganser,Least Concern,False,
42130,GRCA,Grand Canyon National Park,Anatidae,Mergus serrator,Red Breasted Merganser,Least Concern,False,
42131,GRCA,Grand Canyon National Park,Anatidae,Oxyura jamaicensis,Ruddy Duck,Least Concern,False,
42132,GRCA,Grand Canyon National Park,Apodidae,Aeronautes saxatalis,White Throated Swift,Least Concern,False,
42134,GRCA,Grand Canyon National Park,Apodidae,Chaetura vauxi,Vaux's Swift,Species of Concern,True,
42135,GRCA,Grand Canyon National Park,Trochilidae,Archilochus alexandri,Black Chinned Hummingbird,Least Concern,False,
42136,GRCA,Grand Canyon National Park,Trochilidae,Calypte anna,Anna's Hummingbird,Least Concern,False,
42137,GRCA,Grand Canyon National Park,Trochilidae,Calypte costae,CostaS Hummingbird,Least Concern,False,
42138,GRCA,Grand Canyon National Park,Trochilidae,Eugenes fulgens,Magnificent Hummingbird,Least Concern,False,
42139,GRCA,Grand Canyon National Park,Trochilidae,Selasphorus platycercus,Broad Tailed Hummingbird,Least Concern,False,
42140,GRCA,Grand Canyon National Park,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Species of Concern,True,
42141,GRCA,Grand Canyon National Park,Trochilidae,Stellula calliope,Calliope Hummingbird,Species of Concern,True,
42142,GRCA,Grand Canyon National Park,Caprimulgidae,Caprimulgus vociferus arizonae,Mexican Whip Poor Will,Least Concern,False,
42143,GRCA,Grand Canyon National Park,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,Species of Concern,True,
42144,GRCA,Grand Canyon National Park,Caprimulgidae,Chordeiles minor,Common Nighthawk,Least Concern,False,
42146,GRCA,Grand Canyon National Park,Caprimulgidae,Phalaenoptilus nuttallii,Common Poorwill,Least Concern,False,
42148,GRCA,Grand Canyon National Park,Charadriidae,Charadrius nivosus,Snowy Plover,Least Concern,False,
42149,GRCA,Grand Canyon National Park,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,Least Concern,False,
42150,GRCA,Grand Canyon National Park,Charadriidae,Charadrius vociferus,Killdeer,Least Concern,False,
42151,GRCA,Grand Canyon National Park,Laridae,Chlidonias niger,Black Tern,Species of Concern,True,
42152,GRCA,Grand Canyon National Park,Laridae,Chroicocephalus philadelphia,Bonaparte's Gull,Least Concern,False,
42153,GRCA,Grand Canyon National Park,Laridae,Hydroprogne caspia,Caspian Tern,Least Concern,False,
42154,GRCA,Grand Canyon National Park,Laridae,Larus argentatus,"European Herring Gull, Herring Gull",Least Concern,False,
42155,GRCA,Grand Canyon National Park,Laridae,Larus californicus,California Gull,Least Concern,False,
42156,GRCA,Grand Canyon National Park,Laridae,Larus delawarensis,Ring Billed Gull,Least Concern,False,
42157,GRCA,Grand Canyon National Park,Laridae,Larus pipixcan,Franklin's Gull,Least Concern,False,
42158,GRCA,Grand Canyon National Park,Laridae,Sterna forsteri,Forster's Tern,Least Concern,False,
42159,GRCA,Grand Canyon National Park,Laridae,Sterna hirundo,Common Tern,Species of Concern,True,
42160,GRCA,Grand Canyon National Park,Laridae,Xema sabini,Sabine's Gull,Least Concern,False,
42161,GRCA,Grand Canyon National Park,Recurvirostridae,Himantopus mexicanus,Black Necked Stilt,Least Concern,False,
42162,GRCA,Grand Canyon National Park,Recurvirostridae,Recurvirostra americana,American Avocet,Least Concern,False,
42163,GRCA,Grand Canyon National Park,Scolopacidae,Actitis macularius,Spotted Sandpiper,Least Concern,False,
42164,GRCA,Grand Canyon National Park,Scolopacidae,Calidris alba,Sanderling,Least Concern,False,
42165,GRCA,Grand Canyon National Park,Scolopacidae,Calidris alpina,Dunlin,Least Concern,False,
