,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
42081,Accipiter cooperii,Cooper's Hawk,Present,Native,Common,Breeder
42082,Accipiter gentilis,Northern Goshawk,Present,Native,Common,Breeder
42083,Accipiter striatus,Sharp-Shinned Hawk,Present,Native,Common,Breeder
42084,Aquila chrysaetos,Golden Eagle,Present,Native,Uncommon,Breeder
42085,Buteo albonotatus,Zone-Tailed Hawk,Present,Native,Common,Breeder
42086,Buteo jamaicensis,Red-Tailed Hawk,Present,Native,Common,Breeder
42087,Buteo lagopus,Rough-Legged Hawk,Present,Native,Rare,"Migratory, Winter"
42088,Buteo lineatus,Red-Shouldered Hawk,Present,Native,Occasional,Vagrant
42089,Buteo platypterus,Broad-Winged Hawk,Present,Native,Rare,Migratory
42090,Buteo regalis,Ferruginous Hawk,Present,Native,Uncommon,"Breeder, Winter"
42091,Buteo swainsoni,Swainson's Hawk,Present,Native,Uncommon,Breeder
42092,Buteogallus anthracinus,"Common Black Hawk, Common Black-Hawk",Present,Native,Occasional,Vagrant
42093,Circus cyaneus,Northern Harrier,Present,Native,Uncommon,Resident
42094,Haliaeetus leucocephalus,Bald Eagle,Present,Native,Uncommon,"Migratory, Winter"
42095,Cathartes aura,Turkey Vulture,Present,Native,Common,"Breeder, Winter"
42096,Gymnogyps californianus,California Condor,Present,Native,Common,Breeder
42097,Pandion haliaetus,Osprey,Present,Native,Common,"Migratory, Winter"
42098,Aix sponsa,Wood Duck,Present,Native,Occasional,Migratory
42099,Alopochen aegyptiaca,Egyptian Goose,Not Present,Not Native,No Data,No Data
42100,Anas acuta,Northern Pintail,Present,Native,Uncommon,"Migratory, Winter"
42101,Anas americana,American Wigeon,Present,Native,Abundant,"Migratory, Winter"
42102,Anas clypeata,Northern Shoveler,Present,Native,Uncommon,Migratory
42103,Anas crecca,"Eurasian Teal, Green-Winged Teal",Present,Native,Common,"Migratory, Winter"
42104,Anas cyanoptera,Cinnamon Teal,Present,Native,Uncommon,Migratory
42105,Anas discors,Blue-Winged Teal,Present,Native,Uncommon,Migratory
42106,Anas penelope,Eurasian Wigeon,Present,Unknown,Occasional,Vagrant
42107,Anas platyrhynchos,Mallard,Present,Native,Common,Breeder
42108,Anas strepera,Gadwall,Present,Native,Abundant,Winter
42109,Anser albifrons,Greater White-Fronted Goose,Present,Native,Occasional,Vagrant
42110,Aythya affinis,Lesser Scaup,Present,Native,Abundant,Winter
42111,Aythya americana,Redhead,Present,Native,Common,"Migratory, Winter"
42112,Aythya collaris,Ring-Necked Duck,Present,Native,Common,"Migratory, Winter"
42113,Aythya marila,Greater Scaup,Present,Unknown,Occasional,"Resident, Winter"
42114,Aythya valisineria,Canvasback,Present,Native,Uncommon,"Migratory, Winter"
42115,Branta canadensis,Canada Goose,Present,Native,Common,"Breeder, Winter"
42116,Branta hutchinsii,Cackling Goose,Present,Native,Occasional,Vagrant
42117,Bucephala albeola,Bufflehead,Present,Native,Abundant,"Migratory, Winter"
42118,Bucephala clangula,Common Goldeneye,Present,Native,Abundant,"Migratory, Winter"
42119,Bucephala islandica,BarrowS Goldeneye,Present,Native,Common,"Migratory, Winter"
42120,Chen caerulescens,Snow Goose,Present,Native,Occasional,Migratory
42121,Chen rossii,Ross' Goose,Present,Native,Occasional,Vagrant
42122,Clangula hyemalis,Long-Tailed Duck,Present,Native,Rare,Winter
42123,Cygnus buccinator,Trumpeter Swan,Present,Native,Occasional,Vagrant
42124,Cygnus columbianus,Tundra Swan,Present,Native,Occasional,Vagrant
42125,Histrionicus histrionicus,Harlequin Duck,Present,Native,Occasional,Vagrant
42126,Lophodytes cucullatus,Hooded Merganser,Present,Native,Uncommon,Winter
42127,Melanitta fusca,"White-Winged Scoter, Velvet Scoter",Present,Native,Occasional,Vagrant
42128,Melanitta perspicillata,Surf Scoter,Present,Native,Occasional,Vagrant
42129,Mergus merganser,Common Merganser,Present,Native,Common,Resident
42130,Mergus serrator,Red-Breasted Merganser,Present,Native,Occasional,Vagrant
42131,Oxyura jamaicensis,Ruddy Duck,Present,Native,Rare,Winter
42132,Aeronautes saxatalis,White-Throated Swift,Present,Native,Common,Breeder
42133,Aeronautes saxatalis saxatalis,White-Throated Swift,Present,Native,Common,Breeder
42134,Chaetura vauxi,Vaux's Swift,Present,Native,Occasional,Vagrant
42135,Archilochus alexandri,Black-Chinned Hummingbird,Present,Native,Common,Breeder
42136,Calypte anna,Anna's Hummingbird,Present,Native,Occasional,"Summer, Vagrant"
42137,Calypte costae,CostaS Hummingbird,Present,Native,Common,"Breeder, Resident, Summer"
42138,Eugenes fulgens,Magnificent Hummingbird,Present,Native,Rare,"Resident, Summer"
42139,Selasphorus platycercus,Broad-Tailed Hummingbird,Present,Native,Common,Breeder
42140,Selasphorus rufus,Rufous Hummingbird,Present,Native,Common,Migratory
42141,Stellula calliope,Calliope Hummingbird,Present,Native,Uncommon,Migratory
42142,Caprimulgus vociferus arizonae,Mexican Whip-Poor-Will,Present,Native,Rare,Breeder
42143,Chordeiles acutipennis,Lesser Nighthawk,Present,Native,Rare,Breeder
42144,Chordeiles minor,Common Nighthawk,Present,Native,Common,Breeder
42145,Chordeiles minor henryi,Common Nighthawk,Present,Native,Common,Breeder
42146,Phalaenoptilus nuttallii,Common Poorwill,Present,Native,Common,Breeder
42147,Phalaenoptilus nuttallii nuttallii,Common Poorwill,Present,Native,Common,Breeder
42148,Charadrius nivosus,Snowy Plover,Present,Native,Occasional,Vagrant
42149,Charadrius semipalmatus,Semipalmated Plover,Present,Native,Occasional,Vagrant
42150,Charadrius vociferus,Killdeer,Present,Native,Uncommon,Breeder
42151,Chlidonias niger,Black Tern,Present,Native,Occasional,Vagrant
42152,Chroicocephalus philadelphia,Bonaparte's Gull,Present,Native,Occasional,"Migratory, Vagrant"
42153,Hydroprogne caspia,Caspian Tern,Present,Native,Occasional,Vagrant
42154,Larus argentatus,"European Herring Gull, Herring Gull",Present,Native,Occasional,Vagrant
42155,Larus californicus,California Gull,Present,Native,Occasional,Vagrant
42156,Larus delawarensis,Ring-Billed Gull,Present,Native,Rare,Vagrant
42157,Larus pipixcan,Franklin's Gull,Present,Native,Occasional,Vagrant
42158,Sterna forsteri,Forster's Tern,Present,Native,Occasional,Vagrant
42159,Sterna hirundo,Common Tern,Present,Native,Occasional,Vagrant
42160,Xema sabini,Sabine's Gull,Present,Native,Occasional,Vagrant
42161,Himantopus mexicanus,Black-Necked Stilt,Present,Native,Rare,Migratory
42162,Recurvirostra americana,American Avocet,Present,Native,Uncommon,Migratory
42163,Actitis macularius,Spotted Sandpiper,Present,Native,Common,"Breeder, Winter"
42164,Calidris alba,Sanderling,Present,Native,Occasional,Vagrant
42165,Calidris alpina,Dunlin,Present,Native,Occasional,Vagrant
42166,Calidris bairdii,Baird's Sandpiper,Present,Native,Occasional,Vagrant
42167,Calidris mauri,Western Sandpiper,Present,Native,Occasional,Migratory
42168,Calidris melanotos,Pectoral Sandpiper,Present,Native,Occasional,Vagrant
42169,Calidris minutilla,Least Sandpiper,Present,Native,Occasional,Migratory
42170,Calidris pusilla,Semipalmated Sandpiper,Not Present (False Report),Unknown,No Data,No Data
42171,Gallinago delicata,"Wilson's Snipe, Common Snipe",Present,Native,Uncommon,Migratory
42172,Gallinago gallinago,Common Snipe,Present,Native,Uncommon,"Migratory, Winter"
42173,Limnodromus scolopaceus,Long-Billed Dowitcher,Present,Native,Occasional,Vagrant
42174,Limosa fedoa,Marbled Godwit,Present,Native,Occasional,Migratory
42175,Numenius americanus,Long-Billed Curlew,Present,Native,Occasional,Vagrant
42176,Phalaropus lobatus,Red-Necked Phalarope,Present,Native,Rare,Migratory
42177,Phalaropus tricolor,Wilson's Phalarope,Present,Native,Rare,Migratory
42178,Tringa flavipes,Lesser Yellowlegs,Present,Native,Occasional,Vagrant
42179,Tringa melanoleuca,Greater Yellowlegs,Present,Native,Occasional,Vagrant
42180,Tringa semipalmata,Willet,Present,Native,Rare,Migratory
42181,Tringa solitaria,Solitary Sandpiper,Present,Native,Uncommon,Migratory
42182,Tringa solitaria cinnamomea,Solitary Sandpiper,Present,Native,Occasional,Migratory
42183,Stercorarius,Jaegers,Present,Native,Occasional,Vagrant
42184,Mycteria americana,Wood Stork,Present,Native,Occasional,Vagrant
42185,Columba livia,"Rock Pigeon, Rock Dove",Present,Native,Uncommon,Migratory
42186,Columbina inca,Inca Dove,Present,Native,Occasional,Vagrant
42187,Columbina passerina,"Common Ground Dove, Common Ground-Dove",Present,Native,Occasional,Vagrant
42188,Patagioenas fasciata,Band-Tailed Pigeon,Present,Native,Uncommon,Breeder
42189,Patagioenas fasciata fasciata,Band-Tailed Pigeon,Present,Native,Uncommon,Breeder
42190,Streptopelia decaocto,Eurasian Collared-Dove,Present,Not Native,Common,Breeder
42191,Zenaida asiatica,White-Winged Dove,Present,Native,Occasional,Migratory
42192,Zenaida macroura,Mourning Dove,Present,Native,Common,Breeder
42193,Zenaida macroura marginella,Mourning Dove,Present,Native,Common,Breeder
42194,Megaceryle alcyon,Belted Kingfisher,Present,Native,Uncommon,Migratory
42195,Coccyzus americanus,Yellow-Billed Cuckoo,Present,Native,Occasional,Breeder
42196,Crotophaga sulcirostris,Groove-Billed Ani,Present,Native,Occasional,Vagrant
42197,Geococcyx californianus,Greater Roadrunner,Present,Native,Uncommon,Breeder
42198,Falco columbarius,Merlin,Present,Native,Rare,"Migratory, Winter"
42199,Falco columbarius columbarius,Merlin,Present,Native,Occasional,"Migratory, Winter"
